name,rarity,category,subspecies,variant
extra paw wings,uncommon,wings,celestial
extra tail wings,rare,wings,celestial
eye halo,mutation,subspecies mutation,celestial
eyes on halo,mutation,subspecies mutation,celestial
wings on halo,mutation,subspecies mutation,celestial
magic head ribbon,mutation,subspecies mutation,celestial
floating eyes (celestial-born),mutation,subspecies mutation,celestial
metallic horn/claws,mutation,horns,star
floating wing,N/A,wings,star
nebula cloud tail growth,common,tail growth,star
planet/star tail growth,uncommon,tail growth,star
comet trail tail growth,rare,tail growth,star
nebula cloud ribbon trail,N/A,ribbons,star
nebula mane (star-born),N/A,mane,star
long body (star-born),N/A,body,star
floating constellations,N/A,other,star
planet between horns,N/A,other,star
asteroid belt around limbs,N/A,other,star
orbiting space object,mutation,subspecies mutation,star
nebula fur,mutation,subspecies mutation,star
planet ring halo,mutation,subspecies mutation,star
nebula wing membrane,mutation,subspecies mutation,star
nebula eyes,mutation,subspecies mutation,star
tail ribbon orbs,mutation,subspecies mutation,star
nebula eyes and tears,N/A,eyes,star,starstruck
corrupted wings,N/A,wings,star,starstruck
belly scales,N/A,body,star,starstruck
nebula spine fur,N/A,body,star,starstruck
black hole between horns,N/A,other,star,starstruck
multiple eyes,N/A,eyes,void
corruption sensing central eye,N/A,eyes,void
bird-like front talons,N/A,body,void
floating void limbs,N/A,body,void
shorter body,N/A,body,void
corruption limbs,N/A,body,void
void tears,N/A,other,void
corrupted halo,N/A,other,void
multiple mouths,N/A,other,void
corrupted bite,N/A,other,void
floating eyes (void-born),mutation,subspecies mutation,void
floating mouths,mutation,subspecies mutation,void
mechanical tail attachment,N/A,tail growth,temporal	
mechanical body parts,N/A,body,temporal
clock implant/accessory,N/A,other,temporal
any non-magic/elemental trait from other subspecies,N/A,other,temporal
elemental trait from other subspecies,mutation,subspecies mutation,temporal
orbs on ribbons,mutation,subspecies mutation,temporal
glass horns,N/A,horns,temporal,future
artificial wings,N/A,wings,temporal,future
bionic body parts,N/A,body,temporal,future
feathered draconic wing,mutation,wings,hybrid
crystal plant tail growth,N/A,tail growth,hybrid,nature/crystal
floating crystals,mutation,other,hybrid,crystal/star
aquatic plant growth,mutation,subspecies mutation,hybrid,nature/water
plant halo,mutation,subspecies mutation,hybrid,nature/celestial
glowing plants,mutation,subspecies mutation,hybrid,nature/star
water halo,mutation,subspecies mutation,hybrid,water/celestial
nebula water,mutation,subspecies mutation,hybrid,water/star
fire halo,mutation,subspecies mutation,hybrid,fire/celestial
crystal halo,mutation,subspecies mutation,hybrid,crystal/celestial
ice halo,mutation,subspecies mutation,hybrid,frost/celestial
nebula corruption,mutation,subspecies mutation,hybrid,star/void
nebula insect wings,mutation,subspecies mutation,hybrid,nature/star
nebula fins,mutation,subspecies mutation,hybrid,water/star
